codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_latitude;ocorrencia_longitude;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_numero;divulgacao_relatorio_publicado;divulgacao_dia_publicacao;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_tipo;ocorrencia_tipo_categoria;taxonomia_tipo_icao;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;fator_nome;fator_aspecto;fator_condicionante;fator_area;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
39115;39115;39115;39115;39115;ACIDENTE;-13.3805555556;-44.6172222222;CORRENTINA;BA;BRASIL;SNTY;07/02/2010;17:40:00;SIM;FINALIZADA;A-031/CENIPA/2011;SIM;2011-07-21;2;1;NÃO;PANE SECA;COMBUSTÍVEL | PANE SECA;FUEL;PTNQX;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711A;P28R;PISTÃO;MONOMOTOR;1202;1202;4.0;1979.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;BRIGADEIRO ARARIPE MACEDO;CORRENTINA;DECOLAGEM;PRIVADA;SUBSTANCIAL;0;PERCEPÇÃO, PLANEJAMENTO DE VOO, PROCESSO DECISÓRIO, APLICAÇÃO DE COMANDOS, JULGAMENTO DE PILOTAGEM, POUCA EXPERIÊNCIA DO PILOTO;ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO;INDIVIDUAL, OPERAÇÃO DA AERONAVE;FATOR HUMANO, FATOR OPERACIONAL;096/2011, 095/2011;2011-07-21;2011-08-01;2015-12-21, 2011-09-16;Revisar os requisitos de experiência recente para a revalidação de habilitação de aviões classe monomotores terrestres, visando elevar o alerta situacional quanto ao cálculo e gerenciamento do combustível., Divulgar o presente relatório final aos operadores privados, visando assegurar-se de que são adequados para pilotos com baixo número de horas de voo durante dois ou mais anos seguidos.;NÃO CUMPRIDA, CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39155;39155;39155;39155;39155;INCIDENTE;;;BELO HORIZONTE;MG;BRASIL;*;05/02/2010;12:55:00;SIM;FINALIZADA;;NÃO;;0;1;NÃO;VAZAMENTO DE COMBUSTÍVEL;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | VAZAMENTO DE COMBUSTÍVEL;SCF-NP;PTLVI;PARTICULAR;AVIÃO;BEECH AIRCRAFT;C90;BE9L;TURBOÉLICE;BIMOTOR;4377;4377;8.0;1979.0;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;PRIVADA;NENHUM;0;;;;;;;;;;;;
39156;39156;39156;39156;39156;INCIDENTE GRAVE;-15.2402777778;-59.3541666667;CASCAVEL;PR;BRASIL;SBCA;10/01/2010;23:15:00;SIM;FINALIZADA;I-004/CENIPA/2011;SIM;2011-06-30;2;1;NÃO;FOGO EM VOO;FOGO/FUMAÇA (SEM IMPACTO) | FOGO EM VOO;F-NI;PPPTO;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22500;22500;73.0;2008.0;BRASIL;BRASIL;AVIÃO;REGULAR;AFONSO PENA;ADALBERTO MENDES DA SILVA;ARREMETIDA NO AR;REGULAR;LEVE;0;SUPERVISÃO GERENCIAL, MANUTENÇÃO DE AERONAVE, PLANEJAMENTO GERENCIAL;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE, OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;063/2011, 064/2011;2011-06-30;2011-08-01;2014-04-16, 2011-09-12;visando aumentar a possibilidade de detectar uma instalação inadequada de bicos injetores antes do retorno do motor ao serviço., alertando para a adoção dos procedimentos previstos no Manual de Manutenção do Motor para a instalação dos bicos injetores de combustível., Divulgar este Relatório aos operadores de aeronave ATR-72-212A, Acompanhar junto à autoridade primária de certificação do motor o estudo de projeto do fabricante para remover o anel de vedação;CUMPRIDA DE FORMA ALTERNATIVA, CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39158;39158;39158;39158;39158;INCIDENTE;;;BELÉM;PA;BRASIL;*;28/01/2010;16:00:00;SIM;FINALIZADA;;NÃO;;0;1;NÃO;SUPERAQUECIMENTO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | SUPERAQUECIMENTO;SCF-PP;PRLGJ;REGULAR;AVIÃO;BOEING COMPANY;757-225;B752;JATO;BIMOTOR;108862;108862;5.0;1984.0;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0;;;;;;;;;;;;
39176;39176;39176;39176;39176;INCIDENTE;;;SÃO LUÍS;MA;BRASIL;*;05/02/2010;09:30:00;SIM;FINALIZADA;;NÃO;;0;1;NÃO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP;PRMAA;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;77000;77000;184.0;2001.0;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0;;;;;;;;;;;;
39178;39178;39178;39178;39178;INCIDENTE;;;CAMPINAS;SP;BRASIL;*;08/02/2010;12:33:00;SIM;FINALIZADA;;NÃO;;0;1;NÃO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP;PTMZU;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;77000;77000;184.0;2001.0;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0;;;;;;;;;;;;
39235;39235;39235;39235;39235;ACIDENTE;-18.0583333333;-50.1458333333;ITUMBIARA;GO;BRASIL;*;06/02/2010;17:20:00;SIM;FINALIZADA;A-067/CENIPA/2011;SIM;2011-08-29;3;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTWKN;AGRÍCOLA;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1497;1497;1.0;1976.0;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;DESTRUÍDA;1;PLANEJAMENTO DE VOO, POUCA EXPERIÊNCIA DO PILOTO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;205/2011, 206/D/11, 207/2011;2011-08-29;2011-09-29, nan;2012-11-06, nan;enfatizando a possibilidade de instalação inadequada dos bicos injetores e suas consequências., Realizar uma vistoria de segurança de voo na Aero Agrícola Rio Verde, a fim de verificar as suas condições operacionais., Divulgar este Relatório Final, Reforçar junto aos seus mecânicos a necessidade do fiel cumprimento dos procedimentos de manutenção de acordo com as ordens técnicas.;CUMPRIDA;ANAC, SERIPA-6;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL, SEXTO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
39275;39275;39275;39275;39275;ACIDENTE;-23.5758333333;-46.7022222222;SÃO PAULO;SP;BRASIL;*;10/02/2010;09:03:00;SIM;FINALIZADA;A-009/CENIPA/2014;SIM;2016-04-22;3;1;NÃO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP;PTYRE;PARTICULAR;HELICÓPTERO;EUROCOPTER FRANCE;AS 350 BA;;TURBOEIXO;MONOMOTOR;2100;2100;6.0;1994.0;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;CAMPO DE MARTE;CAMPO DE MARTE;CRUZEIRO;PRIVADA;DESTRUÍDA;1;CULTURA ORGANIZACIONAL, MEDICAMENTO, FORMAÇÃO, PESSOAL DE APOIO, INSTRUÇÃO, ORGANIZAÇÃO DO TRABALHO, PLANEJAMENTO GERENCIAL, FADIGA, SUPERVISÃO GERENCIAL, MANUTENÇÃO DE AERONAVE, ESTRESSE, CAPACITAÇÃO E TREINAMENTO, CULTURA DO GRUPO DE TRABALHO, APLICAÇÃO DE COMANDOS;ASPECTO MÉDICO, ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE, PSICOSSOCIAL,  MANUTENÇÃO DA AERONAVE, ORGANIZACIONAL, INDIVIDUAL;FATOR HUMANO, FATOR OPERACIONAL;A-009/CENIPA/2014  01, A-009/CENIPA/2014  02, A-009/CENIPA/2014  03;2016-04-22;2016-05-17;2017-05-24, 2017-03-16, 2016-07-15;sejam alertados da importância, aerofotografia e outros previstos no RBHA 91, aerocinematografia, Atuar, de modo a certificar-se que seus mecânicos sejam reciclados no tocante a esse tipo de serviço, de maneira similar ao que já ocorre com o Serviço Aéreo Especializado Aeroagrícola., de modo a certificar-se que seus inspetores sejam alertados da importância do acompanhamento dos serviços, junto às oficinas que realizam a montagem do garfo em aeronaves AS 350, bem como, que estabeleça critérios para obtenção de um Certificado de Operador Aéreo (COA) para empresas que exploram comercialmente os serviços de aeroreportagem, principalmente nas fases mais críticas e naquelas que afetam diretamente a aeronavegabilidade das aeronaves., Avaliar a necessidade de criar um regulamento específico;NÃO CUMPRIDA, CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
39295;39295;39295;39295;39295;ACIDENTE;;;RIO DE JANEIRO;RJ;BRASIL;*;06/02/2010;21:09:00;;;;NÃO;;0;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PUFLK;EXPERIMENTAL;ULTRALEVE;;RV-9;ULAC;PISTÃO;MONOMOTOR;735;735;2.0;2004.0;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;EXPERIMENTAL;SUBSTANCIAL;2;;;;;;;;;;;;
39315;39315;39315;39315;39315;ACIDENTE;-6.615;-64.1116666667;CANUTAMA;AM;BRASIL;*;15/01/2010;21:22:00;;FINALIZADA;A-519/CENIPA/2016;SIM;2017-02-08;0;1;NÃO;OUTROS;OUTROS;OTHR;PTHLE;TÁXI AÉREO;HELICÓPTERO;HELIBRAS;HB-350B;AS50;TURBOEIXO;MONOMOTOR;1950;1950;6.0;1981.0;BRASIL;BRASIL;HELICÓPTERO;TÁXI AÉREO;FORA DE AERODROMO;LÁBREA;CRUZEIRO;TÁXI AÉREO;;2;CULTURA ORGANIZACIONAL, PESSOAL DE APOIO, PLANEJAMENTO GERENCIAL, PLANEJAMENTO DE VOO, SUPERVISÃO GERENCIAL, ATITUDE, CONDIÇÕES METEOROLÓGICAS ADVERSAS, PROCESSO DECISÓRIO, MOTIVAÇÃO; ASPECTO PSICOLÓGICO, DESEMPENHO DO SER HUMANO; INDIVIDUAL, ORGANIZACIONAL, OPERAÇÃO DA AERONAVE; FATOR HUMANO, FATOR OPERACIONAL;;;;;;;;
